#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
scaffold_1	84.1256	109271	0.4180	100.0000	109271	30195	30295	0.4275	85	29.59
scaffold_2	82.2981	104405	0.4186	100.0000	104405	28215	28296	0.4302	84	23.88
scaffold_3	84.4621	95682	0.4171	99.9383	95623	25178	25078	0.4278	86	23.41
scaffold_4	82.2899	95646	0.4122	100.0000	95646	26019	25942	0.4228	83	23.63
scaffold_5	100.8360	88802	0.4066	100.0000	88802	29698	29626	0.4152	92	62.06
scaffold_6	77.5798	83305	0.4111	100.0000	83305	21199	21079	0.4230	79	23.35
scaffold_7	80.5361	81694	0.4168	100.0000	81694	21768	21665	0.4267	82	23.75
scaffold_8	87.5676	78849	0.4145	100.0000	78849	21802	21567	0.4253	87	31.68
scaffold_9	82.8571	78408	0.4134	100.0000	78408	20814	21130	0.4262	82	46.87
scaffold_10	88.8696	77305	0.4162	100.0000	77305	22172	22134	0.4261	91	25.46
scaffold_11	84.5341	76720	0.4274	100.0000	76720	21398	21014	0.4381	84	34.50
scaffold_12	85.0720	72199	0.4135	100.0000	72199	19741	19680	0.4258	85	42.37
scaffold_13	88.5515	72014	0.4123	100.0000	72014	20318	20122	0.4246	83	112.53
scaffold_14	80.8527	71549	0.4106	100.0000	71549	19233	19070	0.4184	80	35.13
scaffold_15	101.9296	71322	0.4187	99.9439	71282	23898	23844	0.4316	101	34.88
scaffold_16	81.0850	69233	0.4161	100.0000	69233	18497	18440	0.4266	83	22.11
scaffold_17	79.8207	68906	0.4097	99.9187	68850	18044	18091	0.4217	80	24.12
scaffold_18	82.0994	67501	0.4159	100.0000	67501	18210	18235	0.4272	83	32.09
scaffold_19	56.0941	67175	0.4173	95.6115	64227	10352	10429	0.4221	53	60.85
scaffold_20	82.6467	66956	0.4175	100.0000	66956	18092	18140	0.4273	84	22.28
scaffold_21	85.4018	66282	0.4215	100.0000	66282	18516	18524	0.4280	86	32.68
scaffold_22	82.1349	65170	0.4215	100.0000	65170	17694	17694	0.4325	86	23.28
scaffold_23	86.7732	64954	0.4105	100.0000	64954	18550	18405	0.4216	82	97.21
scaffold_24	87.6420	64330	0.4052	100.0000	64330	16274	16289	0.4183	87	31.03
scaffold_25	78.9585	63100	0.4135	100.0000	63100	16293	16397	0.4257	80	23.03
scaffold_26	79.9383	62079	0.4157	100.0000	62079	16310	16317	0.4270	82	22.56
scaffold_27	84.9533	61529	0.4150	100.0000	61529	17035	17090	0.4260	87	25.37
scaffold_28	77.2518	61199	0.4108	100.0000	61199	15407	15382	0.4210	79	21.67
scaffold_29	82.4530	60276	0.4135	100.0000	60276	16370	16284	0.4248	84	33.41
scaffold_30	99.0256	60171	0.4236	100.0000	60171	18171	18484	0.4250	89	120.82
scaffold_31	91.0323	59532	0.4294	100.0000	59532	17039	17062	0.4392	94	24.30
scaffold_32	77.8211	59433	0.4177	100.0000	59433	15300	15348	0.4303	78	22.92
scaffold_33	80.3490	59314	0.4135	100.0000	59314	15415	15476	0.4228	82	20.88
scaffold_34	81.4092	59247	0.4168	100.0000	59247	15892	15894	0.4264	83	21.82
scaffold_35	82.5480	59053	0.4231	100.0000	59053	16028	15988	0.4370	85	24.26
scaffold_36	85.4170	58907	0.4131	100.0000	58907	16217	16224	0.4207	87	30.29
scaffold_37	78.5504	58707	0.4049	100.0000	58707	15287	15339	0.4148	80	22.64
scaffold_38	91.1706	58674	0.4108	100.0000	58674	17600	16605	0.4151	86	92.24
scaffold_39	82.1771	58639	0.4072	100.0000	58639	16012	15924	0.4178	83	22.53
scaffold_40	80.9631	58210	0.4234	100.0000	58210	15408	15402	0.4358	82	22.64
scaffold_41	79.4325	58142	0.4122	100.0000	58142	15347	15236	0.4253	82	23.89
scaffold_42	99.0268	57088	0.4010	100.0000	57088	16346	16698	0.4082	84	133.97
scaffold_43	83.9665	56526	0.4201	100.0000	56526	15797	15758	0.4304	87	22.48
scaffold_44	81.9997	56365	0.4116	100.0000	56365	15479	15344	0.4205	82	25.83
scaffold_45	77.5502	56259	0.4031	100.0000	56259	14340	14352	0.4171	78	25.65
scaffold_46	86.2115	55735	0.4297	100.0000	55735	15912	15845	0.4391	90	23.00
scaffold_47	84.9891	55218	0.4209	100.0000	55218	15341	15268	0.4298	85	29.26
scaffold_48	79.1594	55214	0.4095	100.0000	55214	13815	13880	0.4229	79	23.63
scaffold_49	82.7614	55083	0.4149	100.0000	55083	15019	14999	0.4243	84	21.78
scaffold_50	83.1524	54937	0.4145	100.0000	54937	14884	14840	0.4263	83	40.26
scaffold_51	108.3034	54410	0.4163	100.0000	54410	19411	18961	0.4291	86	184.64
scaffold_52	82.0894	53970	0.4123	100.0000	53970	14386	14400	0.4248	84	23.83
scaffold_53	89.5867	53952	0.4114	100.0000	53952	14188	14207	0.4224	90	26.30
scaffold_54	96.9576	53927	0.4170	100.0000	53927	17074	16927	0.4239	87	124.59
scaffold_55	85.3647	53441	0.4165	100.0000	53441	14709	14721	0.4269	86	22.92
scaffold_56	79.7121	53264	0.4174	100.0000	53264	13954	13922	0.4281	83	22.13
scaffold_57	80.0500	53207	0.4085	100.0000	53207	14088	14039	0.4209	82	23.86
scaffold_58	82.7075	52227	0.4138	100.0000	52227	14158	14039	0.4257	83	25.36
scaffold_59	77.5890	52154	0.4009	100.0000	52154	13178	13204	0.4111	78	23.01
scaffold_60	81.5571	52035	0.4144	100.0000	52035	14076	14030	0.4249	82	23.26
scaffold_61	85.4730	51499	0.4200	100.0000	51499	14034	14477	0.4330	83	66.68
scaffold_62	80.5538	51484	0.4197	100.0000	51484	13742	13806	0.4317	82	24.15
scaffold_63	89.4418	51007	0.4096	100.0000	51007	14609	14596	0.4222	84	77.08
scaffold_64	84.5198	50517	0.4285	100.0000	50517	14172	14147	0.4411	88	23.73
scaffold_65	84.6242	50472	0.4268	100.0000	50472	14086	14201	0.4343	86	21.84
scaffold_66	80.1589	50030	0.4061	100.0000	50030	13155	13134	0.4162	82	21.20
scaffold_67	84.9959	50013	0.4137	100.0000	50013	14179	14082	0.4217	81	40.24
scaffold_68	86.3670	49622	0.4056	100.0000	49622	14071	13909	0.4217	80	76.09
scaffold_69	79.7924	49372	0.4134	100.0000	49372	12858	12888	0.4222	80	20.96
scaffold_70	89.3606	49169	0.4285	100.0000	49169	14561	14708	0.4401	82	92.52
scaffold_71	81.0855	49068	0.4115	100.0000	49068	13191	13155	0.4227	83	23.40
scaffold_72	81.3519	49020	0.4200	100.0000	49020	13009	13106	0.4273	83	19.20
scaffold_73	82.6067	48956	0.4135	100.0000	48956	13336	13272	0.4231	86	22.92
scaffold_74	78.6359	48799	0.4056	100.0000	48799	12596	12541	0.4155	81	22.56
scaffold_75	85.5033	48625	0.4126	100.0000	48625	13727	13188	0.4226	80	61.55
scaffold_76	269.4367	48248	0.4289	100.0000	48248	42050	43615	0.3936	96	968.66
scaffold_77	78.6631	47896	0.4119	100.0000	47896	12501	12476	0.4229	81	22.34
scaffold_78	78.4774	47758	0.4087	100.0000	47758	12297	12268	0.4178	78	22.96
scaffold_79	79.9785	47753	0.4111	100.0000	47753	12673	12655	0.4209	82	21.49
scaffold_80	75.2434	47600	0.4109	100.0000	47600	11858	11893	0.4238	77	24.55
scaffold_81	80.2865	47595	0.4167	100.0000	47595	12574	12570	0.4276	81	21.57
scaffold_82	78.9136	47391	0.4048	100.0000	47391	12341	12357	0.4137	82	21.41
scaffold_83	52.7211	47355	0.3955	99.7508	47237	6809	6892	0.4051	42	46.01
scaffold_84	78.1130	47351	0.4083	100.0000	47351	12176	12159	0.4188	80	21.37
scaffold_85	76.1370	47181	0.4107	100.0000	47181	11924	11870	0.4222	77	23.23
scaffold_86	113.1829	47001	0.3950	100.0000	47001	14469	14925	0.4098	85	157.31
scaffold_87	75.7887	46923	0.4127	100.0000	46923	11807	11855	0.4254	77	25.09
scaffold_88	79.2952	46580	0.4126	100.0000	46580	12084	12097	0.4238	82	24.26
scaffold_89	81.9394	46326	0.3984	100.0000	46326	11932	12074	0.4114	79	52.05
scaffold_90	80.5728	46180	0.4231	100.0000	46180	12294	12386	0.4317	82	21.37
scaffold_91	78.9975	46144	0.4086	100.0000	46144	11873	11812	0.4213	81	24.69
scaffold_92	81.6238	45960	0.4290	99.9978	45959	12466	12449	0.4408	86	22.74
scaffold_93	75.5836	45938	0.3990	100.0000	45938	11487	11481	0.4082	76	21.53
scaffold_94	79.5098	45668	0.4007	100.0000	45668	11852	11940	0.4105	80	49.11
scaffold_95	81.1023	45663	0.4124	100.0000	45663	12099	12084	0.4250	82	23.96
scaffold_96	80.3725	45610	0.4100	100.0000	45610	12249	12123	0.4204	80	27.20
scaffold_97	82.7744	45541	0.3985	100.0000	45541	12471	12430	0.4047	81	33.21
scaffold_98	83.0794	45495	0.4235	100.0000	45495	12366	12416	0.4322	84	22.29
scaffold_99	88.4613	45423	0.3942	100.0000	45423	11895	11995	0.3996	85	45.62
scaffold_100	85.9054	45075	0.4095	100.0000	45075	12711	12663	0.4179	89	22.45
scaffold_101	75.9822	44981	0.3988	100.0000	44981	11028	11101	0.4088	76	23.63
scaffold_102	76.1254	44921	0.4278	100.0000	44921	11365	11380	0.4388	77	21.25
scaffold_103	82.5046	44559	0.4095	100.0000	44559	11621	11592	0.4218	83	24.90
