#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
scaffold_1	75.5178	109282	0.3621	100.0000	109282	27580	27181	0.3693	69	127.21
scaffold_2	77.5723	94074	0.3659	100.0000	94074	23168	23122	0.3796	77	32.09
scaffold_3	70.5549	92544	0.3589	100.0000	92544	21610	21547	0.3746	71	28.81
scaffold_4	67.2568	92488	0.3549	100.0000	92488	20426	20392	0.3677	69	26.45
scaffold_5	72.6031	78968	0.3669	100.0000	78968	18991	18941	0.3849	74	29.74
scaffold_6	79.4451	78778	0.3836	100.0000	78778	20436	20441	0.4007	83	29.04
scaffold_7	67.5577	76808	0.3612	100.0000	76808	17049	17099	0.3750	68	25.14
scaffold_8	70.3890	76708	0.3578	100.0000	76708	17887	17935	0.3725	71	26.65
scaffold_9	66.7239	74361	0.3586	100.0000	74361	16411	16433	0.3751	68	26.69
scaffold_10	67.5414	72717	0.3502	100.0000	72717	16198	16258	0.3677	67	27.84
scaffold_11	66.1344	72596	0.3534	100.0000	72596	16011	15900	0.3694	66	27.05
scaffold_12	69.1648	72427	0.3569	100.0000	72427	16419	16426	0.3685	71	24.79
scaffold_13	74.1694	71710	0.3665	100.0000	71710	17605	17692	0.3797	76	25.58
scaffold_14	69.3231	70386	0.3625	100.0000	70386	16237	16212	0.3756	69	24.55
scaffold_15	68.5042	70231	0.3578	100.0000	70231	15796	15813	0.3703	66	28.02
scaffold_16	65.1767	70051	0.3574	100.0000	70051	15023	15009	0.3722	65	26.00
scaffold_17	69.8291	70007	0.3624	100.0000	70007	16171	16247	0.3770	71	26.63
scaffold_18	76.7542	69152	0.3681	100.0000	69152	17649	17631	0.3826	75	50.38
scaffold_19	72.2221	68110	0.3638	100.0000	68110	16070	16134	0.3760	72	26.43
scaffold_20	68.2229	68098	0.3591	100.0000	68098	15462	15505	0.3765	68	28.41
scaffold_21	70.5860	67049	0.3622	100.0000	67049	15499	15566	0.3743	72	24.48
scaffold_22	73.6360	67047	0.3592	100.0000	67047	16523	16320	0.3733	74	68.47
scaffold_23	70.7922	66418	0.3580	100.0000	66418	15620	15566	0.3760	68	45.64
scaffold_24	69.1699	65860	0.3550	100.0000	65860	15068	15124	0.3702	69	26.85
scaffold_25	70.0476	65758	0.3632	100.0000	65758	15339	15337	0.3762	71	24.10
scaffold_26	74.8770	64811	0.3509	100.0000	64811	14218	14242	0.3638	70	39.10
scaffold_27	70.7815	64789	0.3658	100.0000	64789	15250	15145	0.3787	73	25.84
scaffold_28	65.7804	64351	0.3495	100.0000	64351	14109	13994	0.3631	67	25.65
scaffold_29	76.9011	63536	0.3744	100.0000	63536	16216	16254	0.3864	79	26.33
scaffold_30	66.1467	63488	0.3534	100.0000	63488	13787	13767	0.3728	65	30.81
scaffold_31	70.7114	63482	0.3598	100.0000	63482	14974	14959	0.3726	73	24.93
scaffold_32	66.4284	63332	0.3540	100.0000	63332	14035	14012	0.3675	66	25.87
scaffold_33	66.9218	63211	0.3589	100.0000	63211	14119	14089	0.3764	67	28.24
scaffold_34	71.6683	63120	0.3628	100.0000	63120	13905	13900	0.3801	69	28.55
scaffold_35	230.9628	63001	0.3560	100.0000	63001	49455	46740	0.4273	74	1038.64
scaffold_36	73.0398	62494	0.3578	100.0000	62494	15253	15112	0.3788	69	63.61
scaffold_37	69.1917	62248	0.3590	100.0000	62248	14338	14294	0.3756	69	28.81
scaffold_38	71.5010	61656	0.3648	100.0000	61656	14618	14548	0.3783	72	26.39
scaffold_39	67.0697	61097	0.3574	100.0000	61097	13652	13605	0.3736	68	27.10
scaffold_40	67.8052	60542	0.3598	99.9504	60512	13582	13553	0.3762	67	28.51
scaffold_41	67.6457	60029	0.3645	100.0000	60029	13541	13504	0.3788	70	27.10
scaffold_42	72.0677	58721	0.3628	100.0000	58721	13757	13796	0.3797	72	29.62
scaffold_43	64.6522	58569	0.3561	100.0000	58569	12540	12682	0.3697	65	23.72
scaffold_44	72.4027	58433	0.3553	100.0000	58433	13929	13899	0.3764	69	34.31
scaffold_45	71.8470	58282	0.3590	100.0000	58282	13879	13967	0.3707	71	26.10
scaffold_46	70.0447	58211	0.3620	100.0000	58211	13363	13405	0.3791	69	29.63
