#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
scaffold_1	333.9636	99875	0.3655	100.0000	99875	109991	109348	0.4070	79	1582.33
scaffold_2	72.2782	79958	0.3651	100.0000	79958	18973	19049	0.3798	73	28.71
scaffold_3	71.3533	74135	0.3669	100.0000	74135	17598	17571	0.3799	73	26.54
scaffold_4	75.9469	73741	0.3660	100.0000	73741	18504	18483	0.3798	77	26.63
scaffold_5	67.7889	70109	0.3598	100.0000	70109	15762	15782	0.3769	71	28.15
scaffold_6	86.8513	68514	0.3664	100.0000	68514	16466	16270	0.3790	78	46.15
scaffold_7	79.8742	62728	0.3703	100.0000	62728	16547	16520	0.3842	83	31.51
scaffold_8	69.1358	62113	0.3589	100.0000	62113	14088	14162	0.3769	69	28.88
scaffold_9	69.2216	60692	0.3531	100.0000	60692	13850	13857	0.3657	68	30.15
scaffold_10	74.0889	60626	0.3655	100.0000	60626	14904	14905	0.3802	75	27.38
scaffold_11	70.2173	59627	0.3649	100.0000	59627	13883	13856	0.3804	71	27.60
scaffold_12	77.7633	57351	0.3699	100.0000	57351	14767	14759	0.3845	81	28.46
scaffold_13	67.2444	57313	0.3592	100.0000	57313	12699	12822	0.3721	68	23.79
scaffold_14	71.2441	57158	0.3638	100.0000	57158	13289	13302	0.3784	73	26.98
scaffold_15	72.6207	56380	0.3684	100.0000	56380	13555	13515	0.3814	75	26.15
scaffold_16	73.4204	55611	0.3663	100.0000	55611	13444	13421	0.3792	75	25.81
scaffold_17	72.1818	55425	0.3600	100.0000	55425	13214	13209	0.3744	71	28.30
scaffold_18	47.0069	55246	0.3605	94.3308	52114	6565	6679	0.3742	35	40.01
scaffold_19	72.6919	55245	0.3642	100.0000	55245	13307	13392	0.3796	73	29.23
scaffold_20	67.6898	54624	0.3598	100.0000	54624	12326	12308	0.3737	68	25.35
scaffold_21	76.2147	54465	0.3698	100.0000	54465	13793	13781	0.3834	76	28.06
scaffold_22	73.5352	54298	0.3691	100.0000	54298	13251	13183	0.3805	75	24.71
scaffold_23	73.6220	54293	0.3550	100.0000	54293	13279	13300	0.3681	74	26.69
scaffold_24	72.4718	54293	0.3660	100.0000	54293	12938	13007	0.3798	75	27.82
scaffold_25	70.1481	53802	0.3572	100.0000	53802	12300	12274	0.3698	71	26.23
scaffold_26	79.4364	51754	0.3656	100.0000	51754	13459	13671	0.3767	80	29.80
scaffold_27	71.6305	49365	0.3645	100.0000	49365	11643	11738	0.3765	72	26.30
scaffold_28	75.9820	49227	0.3672	100.0000	49227	12261	12165	0.3801	78	27.02
scaffold_29	77.7912	48474	0.3597	100.0000	48474	12581	12405	0.3742	73	61.34
scaffold_30	71.4485	48272	0.3627	100.0000	48272	11499	11482	0.3789	72	28.94
scaffold_31	68.0468	48079	0.3624	100.0000	48079	10946	10849	0.3780	66	28.32
scaffold_32	68.8564	47882	0.3611	100.0000	47882	10953	10906	0.3762	71	26.00
scaffold_33	73.1428	47559	0.3680	100.0000	47559	11560	11605	0.3829	73	28.01
scaffold_34	67.4992	47370	0.3608	100.0000	47370	10504	10471	0.3777	68	27.39
scaffold_35	71.0953	47131	0.3602	100.0000	47131	11006	11135	0.3765	68	40.30
scaffold_36	70.5119	47127	0.3578	100.0000	47127	11002	11014	0.3739	70	30.15
scaffold_37	72.9910	46472	0.3710	100.0000	46472	11277	11260	0.3839	76	27.82
scaffold_38	76.5766	46191	0.3670	100.0000	46191	11441	11585	0.3802	78	25.58
scaffold_39	70.9770	45929	0.3591	100.0000	45929	10682	10674	0.3747	72	28.86
scaffold_40	68.6700	45726	0.3617	100.0000	45726	10398	10383	0.3734	69	24.91
scaffold_41	83.2676	45626	0.3731	100.0000	45626	12186	12300	0.3854	83	31.70
scaffold_42	71.9620	45424	0.3681	100.0000	45424	10775	10858	0.3818	74	26.85
scaffold_43	71.3012	45230	0.3619	100.0000	45230	10705	10706	0.3772	73	27.89
scaffold_44	79.5899	44750	0.3608	100.0000	44750	11518	11445	0.3750	78	36.70
scaffold_45	69.7579	44729	0.3655	100.0000	44729	10268	10299	0.3791	70	25.55
scaffold_46	78.1242	44704	0.3735	100.0000	44704	11527	11494	0.3887	80	28.69
scaffold_47	73.9858	44627	0.3712	100.0000	44627	10965	11003	0.3871	76	29.24
scaffold_48	70.8206	44047	0.3622	100.0000	44047	10165	10180	0.3754	72	25.39
scaffold_49	73.0079	44032	0.3641	100.0000	44032	10657	10745	0.3745	75	24.53
scaffold_50	83.9105	43661	0.3595	100.0000	43661	12194	12043	0.3866	71	107.50
scaffold_51	66.6608	43373	0.3563	100.0000	43373	9655	9618	0.3735	67	28.49
scaffold_52	69.3927	43359	0.3562	100.0000	43359	10007	10052	0.3697	71	26.87
scaffold_53	64.9663	43275	0.3524	100.0000	43275	9346	9326	0.3665	67	26.50
scaffold_54	73.6768	43194	0.3617	100.0000	43194	10592	10521	0.3770	74	28.89
scaffold_55	79.9289	43132	0.3734	100.0000	43132	11453	11379	0.3863	79	27.50
scaffold_56	70.4610	42502	0.3650	100.0000	42502	9891	9959	0.3809	72	30.15
scaffold_57	70.6069	42501	0.3605	100.0000	42501	9883	9851	0.3766	70	27.61
scaffold_58	69.1020	41931	0.3681	100.0000	41931	9596	9555	0.3884	70	30.21
scaffold_59	63.0629	41807	0.3529	100.0000	41807	8784	8796	0.3696	63	27.00
scaffold_60	78.3401	41740	0.3611	100.0000	41740	10727	10803	0.3737	80	26.60
scaffold_61	68.0988	41682	0.3585	100.0000	41682	9490	9443	0.3719	69	25.85
scaffold_62	72.8224	41678	0.3639	100.0000	41678	10085	10079	0.3806	74	29.52
scaffold_63	72.0818	41645	0.3610	100.0000	41645	9884	9908	0.3768	73	27.44
scaffold_64	72.2792	41480	0.3614	100.0000	41480	9951	9868	0.3744	75	27.38
scaffold_65	80.9090	41319	0.3776	100.0000	41319	11108	11064	0.3872	83	26.11
scaffold_66	79.9935	41122	0.3654	100.0000	41122	10846	10925	0.3876	71	49.95
scaffold_67	78.4408	41097	0.3710	100.0000	41097	10604	10621	0.3846	82	28.00
scaffold_68	70.8847	40899	0.3581	100.0000	40899	9641	9667	0.3688	72	23.27
scaffold_69	71.6369	40835	0.3670	100.0000	40835	9792	9672	0.3829	74	27.18
scaffold_70	75.5998	40768	0.3629	100.0000	40768	10149	10292	0.3734	73	50.95
scaffold_71	75.4382	40720	0.3672	100.0000	40720	10023	10065	0.3877	79	32.00
scaffold_72	71.7971	40708	0.3627	100.0000	40708	9591	9548	0.3793	74	28.22
scaffold_73	67.3002	40634	0.3607	100.0000	40634	9062	9035	0.3745	68	25.54
scaffold_74	75.1904	40596	0.3714	100.0000	40596	10138	10129	0.3828	78	25.28
scaffold_75	71.0761	40308	0.3560	100.0000	40308	9519	9475	0.3735	74	29.93
scaffold_76	71.3751	40252	0.3613	100.0000	40252	9511	9565	0.3779	71	29.30
scaffold_77	72.0049	40216	0.3557	100.0000	40216	9587	9600	0.3680	71	27.10
scaffold_78	74.4132	40162	0.3615	100.0000	40162	9643	9674	0.3753	74	25.95
scaffold_79	62.9885	39944	0.3557	100.0000	39944	8358	8344	0.3734	63	27.45
scaffold_80	72.8012	39711	0.3611	100.0000	39711	9626	9600	0.3784	75	29.72
scaffold_81	71.5850	39514	0.3624	100.0000	39514	9323	9343	0.3746	74	26.57
scaffold_82	71.4361	39484	0.3648	100.0000	39484	9329	9337	0.3770	74	26.26
scaffold_83	70.5511	39228	0.3621	100.0000	39228	9163	9208	0.3749	71	26.16
scaffold_84	76.5981	39137	0.3804	100.0000	39137	9920	9959	0.3934	80	27.59
scaffold_85	66.0470	39022	0.3570	99.9897	39018	8603	8573	0.3711	67	25.86
scaffold_86	77.9540	38920	0.3703	100.0000	38920	10069	10030	0.3799	80	24.57
scaffold_87	72.0391	38803	0.3643	100.0000	38803	9290	9337	0.3792	75	28.78
scaffold_88	81.0790	38761	0.3654	100.0000	38761	10369	10372	0.3797	85	30.00
scaffold_89	73.4461	38524	0.3689	100.0000	38524	9331	9322	0.3848	75	32.24
scaffold_90	66.1546	38519	0.3582	100.0000	38519	8541	8449	0.3728	68	25.20
scaffold_91	69.9689	38127	0.3655	100.0000	38127	8811	8821	0.3775	71	25.24
scaffold_92	71.9672	38044	0.3599	100.0000	38044	9038	9020	0.3721	73	26.39
scaffold_93	70.7740	38028	0.3592	100.0000	38028	8928	8936	0.3690	72	24.62
scaffold_94	71.0996	37969	0.3698	100.0000	37969	8965	8910	0.3852	74	25.78
scaffold_95	71.0736	37918	0.3741	100.0000	37918	8921	8992	0.3909	74	28.67
scaffold_96	80.1756	37806	0.3659	100.0000	37806	10015	10118	0.3784	80	31.15
scaffold_97	70.9907	37641	0.3664	100.0000	37641	8915	8888	0.3806	74	25.58
scaffold_98	74.2321	37486	0.3640	100.0000	37486	9225	9190	0.3780	78	29.86
scaffold_99	75.1837	37425	0.3669	100.0000	37425	9349	9414	0.3832	71	40.94
scaffold_100	69.0979	37038	0.3567	100.0000	37038	8422	8505	0.3721	70	28.45
scaffold_101	69.7192	36822	0.3630	100.0000	36822	8597	8530	0.3789	72	27.51
scaffold_102	71.6858	36791	0.3613	100.0000	36791	8751	8775	0.3774	73	28.71
scaffold_103	67.1843	36713	0.3623	100.0000	36713	8224	8223	0.3781	67	27.33
scaffold_104	61.3338	36650	0.3547	100.0000	36650	7473	7498	0.3727	62	26.76
scaffold_105	74.9618	36616	0.3612	100.0000	36616	9021	9025	0.3767	76	30.33
scaffold_106	69.9375	36593	0.3732	100.0000	36593	8238	8312	0.3911	72	27.98
scaffold_107	69.6934	35941	0.3640	100.0000	35941	8290	8315	0.3790	73	28.07
scaffold_108	68.8894	35821	0.3590	100.0000	35821	8206	8251	0.3698	68	24.05
scaffold_109	69.8150	35819	0.3641	100.0000	35819	8355	8312	0.3779	72	28.80
scaffold_110	73.7045	35734	0.3700	100.0000	35734	8762	8729	0.3835	75	26.01
scaffold_111	72.0344	35727	0.3689	100.0000	35727	8585	8576	0.3850	74	29.81
scaffold_112	72.5753	35651	0.3653	100.0000	35651	8603	8569	0.3806	73	28.24
scaffold_113	69.3279	35633	0.3634	100.0000	35633	8192	8281	0.3783	72	26.09
scaffold_114	68.7219	35535	0.3657	100.0000	35535	8134	8141	0.3788	70	25.28
scaffold_115	73.2641	35353	0.3699	99.7765	35274	8624	8650	0.3847	75	30.34
scaffold_116	78.8588	35267	0.3653	100.0000	35267	9229	9124	0.3752	79	24.29
scaffold_117	79.1735	35236	0.3606	100.0000	35236	8912	8925	0.3718	82	26.08
scaffold_118	72.9392	35138	0.3607	100.0000	35138	8388	8388	0.3734	73	26.68
scaffold_119	65.6350	35116	0.3520	99.9972	35115	7610	7646	0.3667	65	26.89
scaffold_120	75.1838	34954	0.3634	100.0000	34954	8576	8552	0.3749	76	26.89
scaffold_121	65.8659	34894	0.3669	100.0000	34894	7649	7674	0.3860	69	29.12
scaffold_122	71.7196	34786	0.3644	100.0000	34786	8247	8301	0.3778	73	25.04
scaffold_123	70.5725	34725	0.3606	100.0000	34725	7948	7988	0.3823	71	30.93
scaffold_124	80.6501	34671	0.3754	100.0000	34671	9256	9316	0.3876	84	28.13
scaffold_125	70.9552	34656	0.3601	100.0000	34656	8155	8219	0.3740	70	26.13
scaffold_126	72.3276	34567	0.3602	100.0000	34567	8349	8311	0.3753	74	28.77
scaffold_127	70.3144	34212	0.3660	100.0000	34212	8002	7976	0.3808	72	27.73
scaffold_128	72.1459	34209	0.3644	100.0000	34209	8225	8235	0.3797	74	27.65
scaffold_129	73.3000	34000	0.3656	100.0000	34000	8310	8300	0.3786	74	27.38
scaffold_130	68.1452	33972	0.3687	100.0000	33972	7690	7716	0.3848	69	27.25
scaffold_131	73.5048	33970	0.3717	100.0000	33970	8116	8191	0.3896	74	29.52
scaffold_132	73.9988	33909	0.3659	100.0000	33909	8284	8256	0.3797	77	26.77
scaffold_133	73.0853	33461	0.3618	100.0000	33461	8189	8125	0.3706	75	22.04
scaffold_134	80.3238	33272	0.3726	99.8377	33218	8761	8736	0.3829	82	26.80
scaffold_135	68.7830	32962	0.3592	100.0000	32962	7550	7539	0.3745	69	27.71
scaffold_136	70.7559	32935	0.3574	100.0000	32935	7570	7605	0.3717	71	27.27
