ID,status,superkingdom,phylum,class,order,family,genus,species,strain
NODE_1_length_141523_cov_22.174378,nomatch,,,,,,,,
NODE_2_length_124578_cov_22.111516,nomatch,,,,,,,,
NODE_3_length_105015_cov_37.094151,nomatch,,,,,,,,
NODE_4_length_103527_cov_21.714645,nomatch,,,,,,,,
NODE_5_length_99784_cov_22.809211,nomatch,,,,,,,,
NODE_6_length_99211_cov_22.138711,nomatch,,,,,,,,
NODE_7_length_97061_cov_22.113677,nomatch,,,,,,,,
NODE_8_length_95440_cov_22.595629,nomatch,,,,,,,,
NODE_9_length_93226_cov_31.692408,nomatch,,,,,,,,
NODE_10_length_92080_cov_23.805615,nomatch,,,,,,,,
NODE_11_length_90652_cov_32.630494,nomatch,,,,,,,,
NODE_12_length_89526_cov_24.054612,nomatch,,,,,,,,
NODE_13_length_88216_cov_24.449227,nomatch,,,,,,,,
NODE_14_length_86947_cov_37.072188,nomatch,,,,,,,,
NODE_15_length_86783_cov_23.025523,nomatch,,,,,,,,
NODE_16_length_85230_cov_36.172583,nomatch,,,,,,,,
NODE_17_length_81639_cov_23.480665,nomatch,,,,,,,,
NODE_18_length_78045_cov_22.361212,nomatch,,,,,,,,
NODE_19_length_77585_cov_22.887934,nomatch,,,,,,,,
NODE_20_length_77319_cov_21.949276,nomatch,,,,,,,,
NODE_21_length_74446_cov_25.249526,nomatch,,,,,,,,
NODE_22_length_73335_cov_22.281130,nomatch,,,,,,,,
NODE_23_length_72701_cov_22.086610,nomatch,,,,,,,,
NODE_24_length_72310_cov_22.304072,nomatch,,,,,,,,
NODE_25_length_71826_cov_23.498822,nomatch,,,,,,,,
NODE_26_length_71820_cov_24.225541,nomatch,,,,,,,,
NODE_27_length_68874_cov_22.585636,nomatch,,,,,,,,
NODE_28_length_68873_cov_22.592360,nomatch,,,,,,,,
NODE_29_length_68599_cov_22.774496,nomatch,,,,,,,,
NODE_30_length_67837_cov_22.202996,nomatch,,,,,,,,
NODE_31_length_67525_cov_23.494559,nomatch,,,,,,,,
NODE_32_length_67063_cov_23.558170,nomatch,,,,,,,,
NODE_33_length_65196_cov_25.496445,nomatch,,,,,,,,
NODE_34_length_65164_cov_23.197563,nomatch,,,,,,,,
NODE_35_length_65083_cov_23.466649,nomatch,,,,,,,,
NODE_36_length_65052_cov_21.738746,nomatch,,,,,,,,
NODE_37_length_64831_cov_26.565926,nomatch,,,,,,,,
NODE_38_length_64411_cov_22.795707,nomatch,,,,,,,,
NODE_39_length_63464_cov_22.201098,nomatch,,,,,,,,
NODE_40_length_62489_cov_22.371451,nomatch,,,,,,,,
NODE_41_length_62236_cov_26.346836,nomatch,,,,,,,,
NODE_42_length_61633_cov_22.529469,nomatch,,,,,,,,
NODE_43_length_61330_cov_21.672506,nomatch,,,,,,,,
NODE_44_length_61081_cov_25.925890,nomatch,,,,,,,,
NODE_45_length_60934_cov_23.091181,nomatch,,,,,,,,
NODE_46_length_60929_cov_24.871459,nomatch,,,,,,,,
NODE_47_length_60551_cov_24.238317,nomatch,,,,,,,,
NODE_48_length_60346_cov_22.737515,nomatch,,,,,,,,
NODE_49_length_59374_cov_23.277130,nomatch,,,,,,,,
